key,cells
b'0fab7e67-850f-4efd-b4b2-22a4858692c8',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239084368000, 'value': b'32'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239084368000, 'value': b'28'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239084368000, 'value': b'2023-03-19T15:18:03.002346'}]"
b'10f60be7-c986-405a-bd1e-9ad4e416286b',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679237458093000, 'value': b'47'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679237458093000, 'value': b'20'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679237458093000, 'value': b'2020-10-31T14:32:45'}]"
b'12bba291-56a9-4351-80be-60e61a5d0a88',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239084951000, 'value': b'58'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239084951000, 'value': b'22'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239084951000, 'value': b'2023-03-19T15:18:03.663851'}]"
b'13e27977-d106-4790-ad02-4214ae2997f0',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239090907000, 'value': b'46'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239090907000, 'value': b'23'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239090907000, 'value': b'2023-03-19T15:18:09.199581'}]"
b'1479cb07-59b3-4fab-8bb3-1f9f7a0e0d03',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238821230000, 'value': b'48'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238821230000, 'value': b'31'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238821230000, 'value': b'2023-03-19T15:13:39.671254'}]"
b'15937343-510e-4d98-83a5-30c6c756ea28',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239098454000, 'value': b'48'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239098454000, 'value': b'38'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239098454000, 'value': b'2023-03-19T15:18:07.993809'}]"
b'16c0963b-e870-4975-a1b2-d7c453dd82d6',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238821230000, 'value': b'49'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238821230000, 'value': b'30'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238821230000, 'value': b'2023-03-19T15:13:39.315817'}]"
b'17b209fd-1e16-439c-af76-f62f69051850',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239081306000, 'value': b'63'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239081306000, 'value': b'37'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239081306000, 'value': b'2023-03-19T15:18:00.803563'}]"
b'18500747-3e51-40e3-bb05-0df12883256d',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239101910000, 'value': b'46'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239101910000, 'value': b'36'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239101910000, 'value': b'2023-03-19T15:18:12.088105'}]"
b'18d36730-0a7b-4ca8-8157-d518fe3763cd',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238824277000, 'value': b'53'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238824277000, 'value': b'35'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238824277000, 'value': b'2023-03-19T15:13:38.024670'}]"
b'1a969b5b-8467-4104-9741-faf3ad6b66c1',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239097608000, 'value': b'58'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239097608000, 'value': b'32'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239097608000, 'value': b'2023-03-19T15:18:12.292075'}]"
b'1c2b1227-f301-40d1-983b-4c2f4acfb579',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679235779738000, 'value': b'44'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679235779738000, 'value': b'23'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679235779738000, 'value': b'1980-08-15T19:17:57'}]"
b'1cfddf68-9c8c-403b-a09c-2659e7df2b14',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238795512000, 'value': b'55'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238795512000, 'value': b'35'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238795512000, 'value': b'2023-03-19T15:13:14.963721'}]"
b'1e06a9e0-4aea-45a0-9240-3b3a07f9ee00',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238819626000, 'value': b'58'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238819626000, 'value': b'20'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238819626000, 'value': b'2023-03-19T15:13:37.280161'}]"
b'1e83e63f-70cf-4255-83ac-0d96a7c1afe9',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239091953000, 'value': b'56'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239091953000, 'value': b'21'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239091953000, 'value': b'2023-03-19T15:18:11.108607'}]"
b'1ed45152-a5fa-4515-9ff9-6891be90740b',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239092547000, 'value': b'70'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239092547000, 'value': b'23'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239092547000, 'value': b'2023-03-19T15:18:11.251488'}]"
b'1f78c33f-86dc-4efc-891b-d9c09f6075fb',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239106482000, 'value': b'53'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239106482000, 'value': b'32'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239106482000, 'value': b'2023-03-19T15:18:13.319125'}]"
b'21c365a5-9154-4397-a9bf-bec764e17297',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239100418000, 'value': b'37'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239100418000, 'value': b'37'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239100418000, 'value': b'2023-03-19T15:18:11.176679'}]"
b'235187f1-0407-4a75-afcc-2cb9a3e14f0a',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239091430000, 'value': b'50'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239091430000, 'value': b'27'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239091430000, 'value': b'2023-03-19T15:18:09.768964'}]"
b'23fcf5ca-3949-4773-915b-1aaf13942dd0',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238802676000, 'value': b'62'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238802676000, 'value': b'29'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238802676000, 'value': b'2023-03-19T15:13:21.733522'}]"
b'2471e590-1daa-4666-9f5a-8ab29fb88e27',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238800335000, 'value': b'66'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238800335000, 'value': b'29'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238800335000, 'value': b'2023-03-19T15:13:19.869860'}]"
b'25875db3-6fe9-4a8f-8087-f31d5c153463',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239092547000, 'value': b'47'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239092547000, 'value': b'40'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239092547000, 'value': b'2023-03-19T15:18:11.353907'}]"
b'266829ef-13bc-4efb-be36-e952cd626aeb',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679234682414000, 'value': b'\x00\x00\x00\x00\x00\x00\x00\x1e'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679234682414000, 'value': b'\x00\x00\x00\x00\x00\x00\x00#'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679234682414000, 'value': b'2012-04-07T10:48:44'}]"
b'29b07e12-0125-46f0-bef0-3395a6a0a5eb',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239091430000, 'value': b'34'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239091430000, 'value': b'30'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239091430000, 'value': b'2023-03-19T15:18:10.148004'}]"
b'2b572e2b-9c28-415e-955f-e0e605495421',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239086653000, 'value': b'59'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239086653000, 'value': b'37'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239086653000, 'value': b'2023-03-19T15:18:04.742554'}]"
b'2c9449b5-7955-422b-a5e7-b94f016cdcbb',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239103448000, 'value': b'37'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239103448000, 'value': b'29'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239103448000, 'value': b'2023-03-19T15:18:12.781863'}]"
b'2f7ea83f-8e18-4b17-9782-fe9c17afa492',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679237458093000, 'value': b'57'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679237458093000, 'value': b'34'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679237458093000, 'value': b'2003-09-16T04:49:44'}]"
b'30f40136-4898-4d73-9531-d8136a360b78',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679237474033000, 'value': b'55'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679237474033000, 'value': b'40'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679237474033000, 'value': b'1988-11-21T17:03:46'}]"
b'328b8b1e-1469-4d10-acff-587d868c3c6f',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679235229616000, 'value': b'\x00\x00\x00\x00\x00\x00\x00('}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679235229616000, 'value': b'\x00\x00\x00\x00\x00\x00\x00%'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679235229616000, 'value': b'2014-01-12T10:35:57'}]"
b'33794ed6-c142-4311-a3b0-1115c0a5aeb8',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239087260000, 'value': b'66'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239087260000, 'value': b'36'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239087260000, 'value': b'2023-03-19T15:18:05.330672'}]"
b'36921fe3-0b55-4999-a234-2d40e9d5ad99',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239103448000, 'value': b'65'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239103448000, 'value': b'33'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239103448000, 'value': b'2023-03-19T15:18:12.852020'}]"
b'37dc4041-d1d5-4cd4-a662-76aa89f282f6',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679237466307000, 'value': b'40'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679237466307000, 'value': b'26'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679237466307000, 'value': b'2001-04-23T16:13:01'}]"
b'381578e9-4aa2-4787-a34d-ce98a159447f',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239081845000, 'value': b'67'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239081845000, 'value': b'23'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239081845000, 'value': b'2023-03-19T15:18:01.201139'}]"
b'392cea29-c5cb-4be6-bec0-8d576fe4937f',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679237471803000, 'value': b'33'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679237471803000, 'value': b'33'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679237471803000, 'value': b'1986-07-09T13:26:57'}]"
b'39f25555-d8f6-4492-9758-0adcf6e53c31',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238809249000, 'value': b'55'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238809249000, 'value': b'33'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238809249000, 'value': b'2023-03-19T15:13:28.745928'}]"
b'39fed60e-c1d3-4e39-a191-a5d3a442bcc1',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238811392000, 'value': b'51'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238811392000, 'value': b'31'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238811392000, 'value': b'2023-03-19T15:13:31.145926'}]"
b'3a6e9d45-82ff-49d5-9ce4-49ffd5d899ed',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239081845000, 'value': b'62'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239081845000, 'value': b'25'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239081845000, 'value': b'2023-03-19T15:18:01.254766'}]"
b'3b759c7a-e125-442d-b3aa-baa38944bc78',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239080796000, 'value': b'45'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239080796000, 'value': b'39'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239080796000, 'value': b'2023-03-19T15:18:00.523350'}]"
b'3c9646d3-a9cd-40cb-83e0-8dde7170600b',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239087878000, 'value': b'61'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239087878000, 'value': b'30'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239087878000, 'value': b'2023-03-19T15:18:06.084309'}]"
b'3d42cb98-7003-42c4-ae7d-4676c58f84c4',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238820121000, 'value': b'51'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238820121000, 'value': b'23'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238820121000, 'value': b'2023-03-19T15:13:38.133236'}]"
b'3e84a2a4-1444-42b5-9e63-1c160cf3250d',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238821230000, 'value': b'48'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238821230000, 'value': b'23'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238821230000, 'value': b'2023-03-19T15:13:39.607358'}]"
b'3f7c67dd-028d-46cf-9150-30a167832b50',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239083859000, 'value': b'70'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239083859000, 'value': b'31'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239083859000, 'value': b'2023-03-19T15:18:02.728386'}]"
b'4063d750-98bf-4046-b8cb-83547a581a97',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239093211000, 'value': b'41'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239093211000, 'value': b'28'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239093211000, 'value': b'2023-03-19T15:18:12.922825'}]"
b'41343bc0-dbd8-41e3-bdbe-89fb382ebaa2',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239087260000, 'value': b'53'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239087260000, 'value': b'23'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239087260000, 'value': b'2023-03-19T15:18:05.393121'}]"
b'417d0e8a-37bd-4d3d-8d06-fbc8c450c5dd',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238821230000, 'value': b'56'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238821230000, 'value': b'21'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238821230000, 'value': b'2023-03-19T15:13:39.363102'}]"
b'4246979b-2e3c-48c3-aab9-dd9ba3162970',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238819626000, 'value': b'59'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238819626000, 'value': b'33'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238819626000, 'value': b'2023-03-19T15:13:37.447309'}]"
b'42ec7d32-e9c5-41cc-be2d-a920e6cf1b7c',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239092547000, 'value': b'67'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239092547000, 'value': b'40'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239092547000, 'value': b'2023-03-19T15:18:11.860586'}]"
b'43b0e3a9-d2f4-4e27-aed5-bdc182c3e7f0',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239098017000, 'value': b'47'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239098017000, 'value': b'35'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239098017000, 'value': b'2023-03-19T15:18:06.574087'}]"
b'4521ed20-1fd9-4384-8cad-15ab181546ae',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239098017000, 'value': b'65'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239098017000, 'value': b'20'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239098017000, 'value': b'2023-03-19T15:18:05.783838'}]"
b'470e3614-09bf-4f4f-aa7b-27d16a6cd416',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239103448000, 'value': b'68'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239103448000, 'value': b'26'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239103448000, 'value': b'2023-03-19T15:18:12.744775'}]"
b'4747a6d4-d5d8-4b12-ba50-eb83fce11de3',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239098872000, 'value': b'36'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239098872000, 'value': b'27'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239098872000, 'value': b'2023-03-19T15:18:08.719266'}]"
b'482dc892-91ef-4f73-9796-14904fcf78d4',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239098454000, 'value': b'44'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239098454000, 'value': b'40'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239098454000, 'value': b'2023-03-19T15:18:07.215522'}]"
b'48df1a8e-adb5-48ff-9f90-3405c4930514',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238819626000, 'value': b'48'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238819626000, 'value': b'40'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238819626000, 'value': b'2023-03-19T15:13:37.702547'}]"
b'4a0440d8-eaa3-45c7-bbbb-98bee7ef0a1a',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239083859000, 'value': b'59'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239083859000, 'value': b'34'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239083859000, 'value': b'2023-03-19T15:18:02.676979'}]"
b'4b054653-0940-4ce2-9800-b58602326216',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239081306000, 'value': b'55'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239081306000, 'value': b'37'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239081306000, 'value': b'2023-03-19T15:18:00.743059'}]"
b'4b37bf03-0523-4492-b083-52a0e59d0899',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239084368000, 'value': b'64'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239084368000, 'value': b'36'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239084368000, 'value': b'2023-03-19T15:18:03.311160'}]"
b'4b564a51-ff6a-4449-9100-a0c13f0da172',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238821230000, 'value': b'56'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238821230000, 'value': b'20'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238821230000, 'value': b'2023-03-19T15:13:39.771641'}]"
b'4ca7eca3-0bad-4fa8-b38d-17feca0130dd',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239099314000, 'value': b'38'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239099314000, 'value': b'35'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239099314000, 'value': b'2023-03-19T15:18:09.696180'}]"
b'4f013536-c200-452c-87a3-35672b3d3ec2',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239099314000, 'value': b'32'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239099314000, 'value': b'27'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239099314000, 'value': b'2023-03-19T15:18:09.264537'}]"
b'4fa743b2-e864-4650-a6c6-be870de39b6e',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239092547000, 'value': b'37'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239092547000, 'value': b'32'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239092547000, 'value': b'2023-03-19T15:18:11.503394'}]"
b'520171d9-0fa0-45f4-9ba6-e169e2d8bc8e',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679235779738000, 'value': b'54'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679235779738000, 'value': b'22'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679235779738000, 'value': b'2003-02-17T11:38:56'}]"
